f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190
0.446552,0.029255,0.022449,0.008131,0.018734,0.086638,0.222281,0.356709,0.673889,1.01474,0.096834,0.223188,0.361334,0.665651,1.03245,0.080034,0.309127,0.570798,1.01956,1.15542,0.080573,0.29864,0.600567,1.03712,1.19548,0.0918214,0.289338,0.559647,0.712261,0.973686,0.0583657,0.245935,0.347962,0.620661,0.887317,0.0981952,0.322755,0.492353,0.768185,0.960382,0.0782333,0.215324,0.311181,0.633463,0.858145,0.45216,0.039255,0.033616,0.022855,0.007399,0.067086,0.256292,0.453137,0.966395,1.24223,0.075008,0.253304,0.456588,0.951113,1.23746,0.086846,0.301938,0.509364,0.876138,0.946496,0.085482,0.26189,0.470783,0.889528,0.956931,0.0867802,0.363462,0.554416,0.871314,1.03985,0.101778,0.239569,0.323891,0.676339,0.878309,0.1092,0.33023,0.569321,0.832237,0.967674,0.103894,0.169477,0.358088,0.732381,0.932533
0.123085,0.04538,0.029674,0.008642,0.020067,0.072937,0.276479,0.591513,0.601476,1.16534,0.077165,0.296981,0.623474,0.612753,1.21079,0.083373,0.388785,0.912576,0.891894,1.27282,0.075693,0.311358,0.885561,0.88099,1.20026,0.0809376,0.385342,0.543872,0.569969,0.930675,0.0996552,0.261897,0.756482,0.796199,1.29998,0.10003,0.385963,0.559806,0.59911,0.937495,0.109734,0.287122,0.772505,0.845999,1.21857,0.059226,0.05417,0.04351,0.019368,0.008718,0.066851,0.292032,0.738211,0.787929,1.39335,0.072049,0.311296,0.751695,0.789632,1.40146,0.080637,0.361246,0.77211,0.718597,1.04051,0.07738,0.316527,0.784236,0.722957,1.03228,0.123078,0.383432,0.589865,0.498556,0.923121,0.139584,0.249321,0.726662,0.841339,1.27301,0.11229,0.369934,0.531986,0.554689,0.926859,0.131562,0.287824,0.698477,0.781343,1.25706
0.10039,0.067776,0.041743,0.011522,0.037798,0.118494,0.445002,0.705436,0.818381,1.9859,0.109611,0.408337,0.703982,0.836267,2.04591,0.135362,0.568274,1.09972,1.23873,2.16541,0.121385,0.510089,1.04218,1.2189,2.14675,0.166818,0.600303,0.9178,1.09638,1.85418,0.147181,0.330969,0.604818,0.596381,1.50768,0.159361,0.622233,0.952479,1.12303,1.85536,0.153218,0.385851,0.573808,0.645973,1.51729,0.097498,0.082963,0.059487,0.025059,0.016217,0.121112,0.466871,0.842941,1.03968,2.35346,0.114652,0.435145,0.841435,1.06287,2.38303,0.127818,0.526132,0.936122,0.959924,1.77181,0.118631,0.473671,0.882962,0.933702,1.74609,0.173471,0.602042,0.953345,1.13291,1.90832,0.165627,0.371119,0.651055,0.618573,1.52597,0.145259,0.611939,0.933963,1.1041,1.89632,0.160859,0.369666,0.608033,0.639343,1.50536
0.096101,0.023479,0.015895,0.012344,0.024889,0.05919,0.1895,0.359499,1.068,1.32674,0.096683,0.198484,0.43248,1.0878,1.4382,0.068855,0.236027,0.581423,1.42521,1.45259,0.095277,0.248625,0.589634,1.40858,1.27604,0.0872129,0.241575,0.419216,0.724831,1.32277,0.18673,0.27203,0.787847,1.23433,1.34821,0.083897,0.265371,0.406234,0.766505,1.31042,0.137784,0.27901,0.749995,1.29311,1.33064,0.08461,0.030517,0.024983,0.020284,0.011306,0.060668,0.213186,0.465153,1.33718,1.55332,0.091721,0.216294,0.508945,1.32119,1.65133,0.074209,0.219808,0.483365,1.10379,1.18582,0.095808,0.245485,0.509103,1.12703,1.08773,0.0659421,0.247372,0.394962,0.72926,1.30867,0.128296,0.325568,0.761296,1.22641,1.32305,0.0929046,0.228437,0.418411,0.748815,1.30068,0.161451,0.292226,0.759429,1.20996,1.35156
0.117931,0.046629,0.019048,0.009989,0.006623,0.082612,0.234791,0.354941,0.938688,0.398974,0.084064,0.270952,0.396725,0.94521,0.404494,0.096571,0.312116,0.578346,1.29074,0.45346,0.099338,0.323187,0.551345,1.29391,0.449751,0.152348,0.246133,0.490686,0.902875,0.401704,0.140149,0.37734,0.379252,0.803218,0.418449,0.104599,0.254037,0.457989,0.839575,0.426151,0.0875146,0.323028,0.428243,0.812655,0.482906,0.113869,0.055208,0.028314,0.020751,0.004342,0.089472,0.255753,0.434242,1.18093,0.477009,0.088781,0.279443,0.473009,1.18372,0.475813,0.099233,0.293365,0.490032,1.02166,0.36064,0.100897,0.308473,0.459412,1.01627,0.365921,0.102286,0.254607,0.453423,0.833672,0.418176,0.134822,0.31234,0.369891,0.820808,0.473933,0.111769,0.25069,0.473869,0.84185,0.427473,0.114299,0.32632,0.367249,0.822783,0.431197
0.032626,0.023629,0.009999,0.009211,0.013596,0.03844,0.128907,0.190428,0.594545,0.750067,0.046388,0.147403,0.200777,0.606872,0.739979,0.043972,0.192043,0.301981,0.857754,0.790043,0.046506,0.155862,0.287279,0.874689,0.82874,0.0541906,0.166226,0.282842,0.488829,0.649091,0.12303,0.181978,0.309092,0.638553,0.663368,0.0691889,0.223989,0.289146,0.508733,0.631279,0.0956968,0.193389,0.294305,0.647209,0.709629,0.05076,0.026904,0.013912,0.017028,0.004608,0.039342,0.139383,0.237154,0.757716,0.884396,0.049143,0.159258,0.246146,0.757627,0.85238,0.03917,0.176633,0.250949,0.675781,0.636202,0.046567,0.142493,0.240838,0.680925,0.670361,0.072616,0.20674,0.281408,0.55046,0.686242,0.130715,0.17882,0.292612,0.647182,0.66479,0.0632562,0.213266,0.29065,0.523402,0.699704,0.073576,0.137828,0.317478,0.61454,0.687706
0.112411,0.033558,0.027689,0.01867,0.023981,0.104253,0.217437,0.684178,1.42873,1.34599,0.090855,0.196316,0.622727,1.3968,1.35143,0.116737,0.270924,0.977059,1.98256,1.47584,0.106749,0.247842,1.01405,2.00301,1.44772,0.15852,0.299276,0.783221,1.25059,1.31422,0.17713,0.236411,0.646618,1.43754,0.8944,0.133862,0.300395,0.785525,1.28015,1.29391,0.111894,0.205733,0.657085,1.43215,0.836775,0.093516,0.041079,0.042979,0.038349,0.010369,0.105848,0.227712,0.823577,1.7903,1.59594,0.097829,0.203232,0.760038,1.74973,1.5828,0.115248,0.255593,0.820582,1.56239,1.17035,0.109358,0.238862,0.85301,1.5983,1.17505,0.125652,0.276554,0.752035,1.32328,1.35253,0.0968949,0.158226,0.61779,1.42723,0.869765,0.169162,0.308803,0.800475,1.30118,1.31299,0.168658,0.214315,0.614361,1.41471,0.881096
0.124612,0.049867,0.029397,0.011088,0.009319,0.122379,0.273756,0.703534,0.839652,0.557888,0.116029,0.310078,0.702299,0.818095,0.580648,0.116187,0.329556,1.04403,1.21027,0.646045,0.131137,0.389298,1.10568,1.25228,0.635137,0.172681,0.316862,0.696286,1.00995,0.575139,0.232445,0.448938,0.875181,0.843553,0.656531,0.113382,0.305548,0.636809,1.00377,0.51561,0.182139,0.421687,0.846151,0.778511,0.616079,0.151257,0.060483,0.046339,0.026103,0.005367,0.122397,0.306758,0.871958,1.05305,0.647448,0.117323,0.332004,0.849569,1.02709,0.665888,0.115522,0.317903,0.87716,0.960474,0.523087,0.132283,0.373093,0.931132,0.983668,0.508291,0.162968,0.281927,0.729272,1.05895,0.541778,0.158046,0.451977,0.905593,0.792623,0.607222,0.174954,0.326817,0.672534,1.04056,0.557657,0.185023,0.487937,0.895455,0.857466,0.693284
0.198963,0.062989,0.029478,0.01064,0.014634,0.157976,0.397918,0.517703,0.825714,0.833232,0.121638,0.358512,0.532488,0.825266,0.878647,0.172175,0.49586,0.790985,1.12819,0.993664,0.132261,0.442173,0.742376,1.09633,0.937254,0.232674,0.541797,0.602402,0.761935,0.959,0.116601,0.382442,0.54167,0.687615,0.732519,0.16576,0.483654,0.627951,0.789214,0.990947,0.146287,0.325723,0.530954,0.658427,0.760305,0.207086,0.079888,0.044182,0.020163,0.009056,0.157219,0.40813,0.614982,1.03323,1.00471,0.123664,0.377604,0.628971,1.02951,1.05438,0.180796,0.466158,0.672169,0.877001,0.799244,0.145038,0.421031,0.653593,0.879565,0.749203,0.252634,0.519166,0.589853,0.752832,0.949249,0.121161,0.32869,0.535264,0.700101,0.674094,0.249274,0.522336,0.560167,0.785609,0.975741,0.203273,0.339604,0.516194,0.688104,0.712392
0.06109,0.015807,0.016737,0.005626,0.00516,0.03665,0.09589,0.390703,0.425222,0.27587,0.048821,0.119078,0.380374,0.445055,0.27417,0.043317,0.133183,0.613581,0.626845,0.305967,0.051186,0.135442,0.567799,0.606476,0.285216,0.0831286,0.12768,0.620262,0.383397,0.694028,0.109211,0.171554,0.25043,0.604877,0.559623,0.0651393,0.127446,0.619499,0.402332,0.630957,0.0969407,0.13668,0.207143,0.539944,0.57883,0.034561,0.020362,0.02715,0.012332,0.002994,0.040591,0.109255,0.466521,0.555158,0.316828,0.048967,0.128314,0.459262,0.555053,0.312994,0.041077,0.126265,0.50621,0.495294,0.241603,0.051422,0.133506,0.468915,0.496863,0.237553,0.0765324,0.133721,0.609932,0.353346,0.664051,0.103304,0.154901,0.176074,0.547669,0.54918,0.068972,0.127708,0.605451,0.372528,0.673242,0.121181,0.182622,0.203267,0.59053,0.564474
