f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190
0.211633,0.03479,0.025512,0.009458,0.022305,0.057169,0.222668,0.341704,0.672662,0.984274,0.060877,0.220108,0.34494,0.657272,0.994323,0.065541,0.299252,0.562293,0.996489,1.12794,0.060158,0.29102,0.591781,1.02261,1.16772,0.110288,0.315779,0.413926,0.756937,1.00658,0.07307,0.239744,0.32821,0.616789,0.864002,0.0920573,0.304956,0.491673,0.769479,1.00971,0.0929793,0.159538,0.31624,0.660369,0.826969,0.283751,0.042287,0.035025,0.021875,0.006943,0.063686,0.256052,0.469361,0.976827,1.23636,0.065506,0.252286,0.474973,0.978706,1.25155,0.077975,0.303147,0.521477,0.893043,0.956126,0.071537,0.261934,0.477343,0.888412,0.943701,0.0914328,0.369808,0.585834,0.861941,0.953142,0.116182,0.238923,0.320553,0.686643,0.893675,0.122177,0.328595,0.569631,0.86262,0.983322,0.0550379,0.219467,0.339737,0.677818,0.900212
0.073291,0.053976,0.033171,0.009521,0.024448,0.066433,0.270891,0.567578,0.585093,1.11519,0.070129,0.286504,0.595179,0.599518,1.15138,0.08706,0.386307,0.907692,0.881431,1.24276,0.080125,0.311331,0.885095,0.866867,1.17212,0.0982192,0.373988,0.525769,0.599803,0.933162,0.122307,0.268304,0.703453,0.796962,1.27269,0.100609,0.361535,0.531494,0.537243,0.946257,0.150387,0.325569,0.741131,0.801676,1.19969,0.066155,0.057723,0.044956,0.018841,0.007191,0.064146,0.301617,0.730265,0.77574,1.37018,0.067567,0.315985,0.748884,0.78941,1.40122,0.082763,0.371118,0.788903,0.729948,1.04351,0.076577,0.323329,0.790894,0.724603,1.00944,0.111343,0.372915,0.569183,0.576283,0.914703,0.114031,0.254415,0.736306,0.855278,1.30034,0.135252,0.378571,0.564522,0.550027,0.956059,0.11058,0.283172,0.68633,0.813468,1.2594
0.106137,0.080577,0.047158,0.013939,0.044652,0.122449,0.438009,0.697832,0.818625,1.90539,0.110896,0.397018,0.687253,0.837443,1.95149,0.136563,0.569071,1.08896,1.21271,2.11317,0.122899,0.518375,1.03827,1.19121,2.09023,0.17016,0.607407,0.97502,1.08629,1.81022,0.203942,0.411262,0.579232,0.669288,1.52312,0.196659,0.624299,0.966851,1.09932,1.85289,0.168346,0.34908,0.626323,0.625716,1.48995,0.100767,0.08887,0.061186,0.024299,0.013141,0.124236,0.48474,0.874647,1.06765,2.32406,0.117931,0.448191,0.873758,1.11957,2.40449,0.132601,0.545018,0.967611,0.992563,1.7876,0.121662,0.490519,0.906636,0.938937,1.70381,0.189234,0.602332,0.986049,1.12321,1.84245,0.131778,0.344613,0.596739,0.58908,1.50972,0.146189,0.567434,0.972027,1.1146,1.88157,0.191642,0.411774,0.606603,0.638483,1.49689
0.094645,0.028064,0.018854,0.014902,0.029947,0.051662,0.188429,0.34732,1.03256,1.27892,0.091457,0.189751,0.419901,1.06138,1.36639,0.069162,0.238863,0.586728,1.4031,1.41316,0.096761,0.259837,0.595587,1.3787,1.25279,0.0830103,0.235174,0.413948,0.703216,1.28524,0.167778,0.310044,0.764128,1.25359,1.26454,0.0887044,0.241934,0.401647,0.776118,1.2694,0.177568,0.335729,0.740487,1.22457,1.32652,0.085589,0.032428,0.026637,0.019516,0.009133,0.063026,0.215863,0.457249,1.33269,1.52848,0.094807,0.215897,0.51128,1.34197,1.65258,0.077532,0.231813,0.504878,1.12507,1.19785,0.101436,0.25219,0.525427,1.12638,1.0727,0.079305,0.238747,0.401184,0.734293,1.28996,0.14753,0.309433,0.793637,1.20938,1.25744,0.0976366,0.260714,0.41093,0.723453,1.31504,0.180989,0.326476,0.820304,1.24286,1.31362
0.133118,0.055008,0.022557,0.013094,0.008051,0.084316,0.231642,0.345143,0.92391,0.385861,0.088644,0.262768,0.38402,0.92817,0.388803,0.098004,0.3143,0.571831,1.26812,0.443379,0.10434,0.323034,0.538124,1.27381,0.441865,0.1804,0.237334,0.509486,0.889879,0.388065,0.168641,0.389386,0.409202,0.789369,0.461198,0.104959,0.24044,0.481888,0.839576,0.406279,0.105817,0.312903,0.3268,0.843773,0.473455,0.119042,0.059973,0.029049,0.019801,0.004144,0.090932,0.266376,0.444804,1.1736,0.471714,0.08567,0.285544,0.482046,1.20313,0.480326,0.101172,0.297045,0.498884,1.03597,0.36586,0.10206,0.309824,0.462901,1.00449,0.36062,0.128435,0.294467,0.460303,0.814281,0.416627,0.134908,0.34784,0.367241,0.839784,0.452111,0.126793,0.252235,0.445602,0.832787,0.427781,0.122481,0.34739,0.382608,0.796533,0.429086
0.024993,0.028023,0.011428,0.01036,0.015994,0.03953,0.128328,0.188494,0.580667,0.714092,0.046729,0.142339,0.198585,0.592482,0.706659,0.045325,0.19268,0.297765,0.841295,0.775371,0.046678,0.158383,0.280709,0.861213,0.804954,0.0755113,0.214427,0.301643,0.526813,0.708805,0.143709,0.166206,0.276347,0.646448,0.69439,0.0823949,0.205054,0.229233,0.508487,0.664809,0.108148,0.17321,0.255842,0.648016,0.677436,0.039627,0.028469,0.014354,0.016809,0.003681,0.039367,0.143211,0.2402,0.754483,0.876,0.044218,0.161019,0.251142,0.764244,0.856471,0.041163,0.178164,0.262003,0.686184,0.648626,0.05167,0.148283,0.246226,0.680983,0.667955,0.0805092,0.231398,0.263276,0.533813,0.649149,0.10284,0.204367,0.323942,0.656488,0.704028,0.0710953,0.208705,0.303949,0.497291,0.678839,0.131583,0.161723,0.289931,0.615589,0.69557
0.125604,0.039892,0.030636,0.022422,0.028363,0.110531,0.214243,0.672007,1.41206,1.29612,0.095287,0.190994,0.607225,1.37688,1.29836,0.112047,0.270744,0.971024,1.93997,1.43268,0.104663,0.255251,1.01555,1.96643,1.40141,0.143351,0.235023,0.760937,1.33085,1.32155,0.16773,0.228784,0.651366,1.4269,0.860097,0.147917,0.289329,0.809771,1.27176,1.28636,0.10615,0.214576,0.600021,1.41108,0.838779,0.101437,0.044204,0.04391,0.037155,0.008684,0.105849,0.241826,0.837159,1.79617,1.59063,0.089698,0.214043,0.773439,1.77966,1.61076,0.123051,0.264097,0.84712,1.59513,1.18559,0.108365,0.243542,0.871722,1.60488,1.15553,0.186936,0.349809,0.872595,1.28371,1.2291,0.107161,0.19979,0.555035,1.38039,0.920545,0.157725,0.296861,0.802274,1.26703,1.30928,0.130943,0.217166,0.635893,1.40114,0.887729
0.128614,0.059401,0.032724,0.013494,0.011466,0.121874,0.260715,0.690169,0.833994,0.534271,0.114302,0.303302,0.686704,0.808597,0.550981,0.115709,0.334417,1.04959,1.18809,0.62731,0.128604,0.396733,1.11419,1.23486,0.618948,0.172631,0.290063,0.677409,1.04614,0.501079,0.181436,0.459231,0.907372,0.806961,0.662468,0.139296,0.281837,0.656363,0.999955,0.532943,0.182899,0.481353,0.90288,0.780666,0.672269,0.148144,0.065153,0.04796,0.025392,0.004995,0.123272,0.302643,0.879417,1.06543,0.643778,0.120539,0.329709,0.866897,1.05638,0.678282,0.113955,0.319476,0.918651,0.989807,0.527833,0.133991,0.370508,0.95929,0.99463,0.496797,0.182385,0.289206,0.643489,1.02549,0.508212,0.180666,0.491956,0.864171,0.780043,0.656409,0.104613,0.346887,0.645569,1.00189,0.482371,0.165962,0.420761,0.847503,0.793037,0.608644
0.203814,0.074888,0.034078,0.012346,0.017676,0.16173,0.391224,0.500938,0.821063,0.810141,0.124202,0.341939,0.511387,0.810608,0.837609,0.171492,0.493097,0.789057,1.10509,0.952048,0.131799,0.436495,0.735582,1.08372,0.910622,0.238315,0.554097,0.631607,0.795932,1.00733,0.0850886,0.301131,0.505666,0.665777,0.660403,0.189814,0.52255,0.569603,0.792115,1.02164,0.116073,0.343004,0.481811,0.694974,0.69384,0.204821,0.085217,0.04533,0.019413,0.008325,0.170415,0.427056,0.632285,1.03718,0.990631,0.129766,0.388216,0.645867,1.05574,1.06724,0.169752,0.469035,0.695521,0.896531,0.81038,0.130826,0.424944,0.671128,0.878848,0.732886,0.169832,0.506014,0.595444,0.783321,0.986955,0.141947,0.355358,0.531916,0.668444,0.77135,0.211141,0.537961,0.652242,0.758108,1.01381,0.150471,0.335649,0.587603,0.624444,0.741422
0.063229,0.01918,0.018649,0.006516,0.006057,0.037678,0.096547,0.384849,0.414489,0.263114,0.047489,0.120258,0.372991,0.439195,0.260775,0.044233,0.133306,0.59908,0.62023,0.297853,0.055364,0.13876,0.554291,0.596836,0.282234,0.0883984,0.123536,0.675616,0.393722,0.688001,0.0984549,0.199369,0.223269,0.586435,0.562747,0.0832175,0.179865,0.605105,0.380012,0.658947,0.102673,0.200158,0.2164,0.581568,0.540055,0.028694,0.022072,0.027395,0.012044,0.002612,0.037256,0.106273,0.479005,0.54206,0.32346,0.044956,0.129912,0.478802,0.556725,0.328945,0.0415,0.126408,0.530326,0.502692,0.246607,0.050776,0.13157,0.480706,0.491243,0.236213,0.0792174,0.125405,0.619535,0.355886,0.646302,0.129545,0.229049,0.187984,0.601427,0.581424,0.0839356,0.155927,0.633276,0.358422,0.673113,0.0687749,0.202685,0.176786,0.568157,0.570294
